id_nota,num_nota,data_nota,titulo_nota,bloco_tematico_principal,temas_secundarios,justificativa_categorizacao,palavras_chave,revisao_necessaria
16,184,02/06/2026,Reconhecimento de todo o território brasileiro como livre de febre aftosa pela China - Nota Conjunta MRE/MAPA,"Comércio Exterior, Agronegócio e Economia","Sanidade Animal, Status Livre de Febre Aftosa, Exportações Bovinas","Reconhecimento oficial pelas autoridades sanitárias chinesas do status sanitário de todo o território brasileiro como livre de febre aftosa, impulsionando o agronegócio.","Febre Aftosa, Sanidade Animal, MAPA, MRE, Carne Bovina, Exportações",Não
17,183,31/05/2026,Visita do Ministro das Relações Exteriores a Pequim para realizar a reunião do V Diálogo Estratégico Global (DEG) Brasil-China – 1° e 2 de junho,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional","Diálogo Estratégico Global (DEG), Chanceleres, Pequim",Nota à imprensa sobre a visita oficial do Ministro das Relações Exteriores a Pequim para co-presidir o V Diálogo Estratégico Global Brasil-China.,"Diálogo Estratégico Global, Pequim, Chanceler, Mauro Vieira, Relações Bilaterais",Não
42,158,11/05/2026,Isenção recíproca de vistos entre Brasil e China – Nota Conjunta MRE/MTur,"Educação, Cultura e Intercâmbio Humano","Isenção de Vistos, Turismo, MRE/MTur",Nota conjunta MRE/MTur sobre o acordo de isenção recíproca de vistos para viabilizar e intensificar o fluxo turístico e o intercâmbio entre os cidadãos dos dois países.,"Isenção de Vistos, Turismo, MTur, MRE, Intercâmbio Humano",Não
101,99,26/03/2026,Comunicado conjunto sobre o Ano Cultural Brasil-China,"Educação, Cultura e Intercâmbio Humano","Diplomacia Cultural, 50 Anos de Relações Bilaterais","Nota sobre a celebração do Ano Cultural Brasil-China, promovendo eventos artísticos, culturais e aproximação entre os povos.","Ano Cultural, Cultura, Intercâmbio, Diplomacia Cultural",Não
178,22,22/01/2026,"Iniciativa Global para o Direito Internacional Humanitário - Conferência de Alto Nível para Preservar a Humanidade na Guerra, Jordânia, 2026","Defesa, Segurança Internacional e Geopolítica","Direito Internacional Humanitário, Multilateralismo",Iniciativa diplomática focada na preservação da humanidade em tempos de guerra e fortalecimento das normas de Direito Internacional Humanitário.,"Direito Internacional Humanitário, Proteção de Civis, Segurança Internacional",Sim
200,615,31/12/2025,Salvaguardas da China a importações de carne bovina - nota conjunta MRE/MDIC/MAPA,"Comércio Exterior, Agronegócio e Economia","Defesa Comercial, Exportações Bovinas",Nota conjunta MRE/MDIC/MAPA referente às negociações sobre investigações e salvaguardas chinesas aplicadas às exportações de carne bovina do Brasil.,"Salvaguardas, Carne Bovina, MAPA, MDIC, Defesa Comercial, Exportações",Não
290,524,07/11/2025,Retirada da suspensão à exportação de carne de aves brasileira pela China - Nota Conjunta MRE/MAPA,"Comércio Exterior, Agronegócio e Economia","Sanidade Animal, Exportações de Aves",Comunicação oficial da revogação da suspensão sanitária chinesa às exportações brasileiras de carne de aves.,"Carne de Aves, Retirada de Suspensão, Sanidade Animal, MAPA, Exportações",Não
377,437,21/09/2025,Líderes globais unidos em defesa do direito internacional humanitário para preservar a humanidade em tempos de guerra,"Defesa, Segurança Internacional e Geopolítica","Direito Humanitário, Cooperação Multilateral",Declaração conjunta de lideranças globais pela preservação das convenções de Genebra e proteção humanitária em zonas de conflito.,"Direito Internacional Humanitário, Paz, Segurança, Convenções de Genebra",Sim
516,298,06/07/2025,"Declaração de Líderes do BRICS — Rio de Janeiro, 06 de julho de 2025",Cooperação Multilateral e Governança Global,"Reforma Institucional, Desenvolvimento Sustentável, Economia Global","Declaração oficial da Cúpula de Líderes do BRICS no Rio de Janeiro, abordando coordenação política, reforma do sistema financeiro internacional e multilateralismo.","BRICS, Cúpula de Líderes, Rio de Janeiro, Governança Global, Multilateralismo",Não
612,202,13/05/2025,Declaração de Pequim e Plano de Ação Conjunto - IV Reunião Ministerial do Fórum CELAC-China,Cooperação Multilateral e Governança Global,"Integração Regional, Cooperação Sul-Sul",Adoção da Declaração de Pequim e Plano de Ação Conjunto no âmbito do Fórum CELAC-China para fortalecimento da cooperação bi-regional América Latina-China.,"CELAC-China, Plano de Ação, Pequim, Cooperação Bi-regional, Sul-Sul",Não
