nivel_registro,bloco_analisado,id_nota,num_nota,data_nota,titulo_nota,topico_tematica,porcentagem_presenca,vocabularios_chave_identificados,justificativa_metodologica,revisao_necessaria
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",17,183,31/05/2026,Visita do Ministro das Relações Exteriores a Pequim para realizar a reunião do V Diálogo Estratégico Global (DEG) Brasil-China – 1° e 2 de junho,Multilateralismo e Foruns Plurilaterais,50.0%,deg (3x); dialogo estrategico global (2x); brics (1x),"Peso semantico do topico 'Multilateralismo e Foruns Plurilaterais' na nota = 12 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 24. Percentual = (12 / 24) x 100 = 50.0%. Termos computados (radical, casamento por fronteira de palavra): deg (3x); dialogo estrategico global (2x); brics (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",17,183,31/05/2026,Visita do Ministro das Relações Exteriores a Pequim para realizar a reunião do V Diálogo Estratégico Global (DEG) Brasil-China – 1° e 2 de junho,"Economia, Comercio Exterior e Agronegocio",20.8%,comercio (2x); agropecuari (1x); export (1x); import (1x),"Peso semantico do topico 'Economia, Comercio Exterior e Agronegocio' na nota = 5 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 24. Percentual = (5 / 24) x 100 = 20.8%. Termos computados (radical, casamento por fronteira de palavra): comercio (2x); agropecuari (1x); export (1x); import (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",17,183,31/05/2026,Visita do Ministro das Relações Exteriores a Pequim para realizar a reunião do V Diálogo Estratégico Global (DEG) Brasil-China – 1° e 2 de junho,Diplomacia Institucional e Atos Bilaterais,16.7%,chanceler (2x); visita oficial (1x),"Peso semantico do topico 'Diplomacia Institucional e Atos Bilaterais' na nota = 4 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 24. Percentual = (4 / 24) x 100 = 16.7%. Termos computados (radical, casamento por fronteira de palavra): chanceler (2x); visita oficial (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",17,183,31/05/2026,Visita do Ministro das Relações Exteriores a Pequim para realizar a reunião do V Diálogo Estratégico Global (DEG) Brasil-China – 1° e 2 de junho,"Educacao, Cultura e Intercambio Humano",8.3%,ano cultural (1x); cultura (1x),"Peso semantico do topico 'Educacao, Cultura e Intercambio Humano' na nota = 2 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 24. Percentual = (2 / 24) x 100 = 8.3%. Termos computados (radical, casamento por fronteira de palavra): ano cultural (1x); cultura (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",17,183,31/05/2026,Visita do Ministro das Relações Exteriores a Pequim para realizar a reunião do V Diálogo Estratégico Global (DEG) Brasil-China – 1° e 2 de junho,"Infraestrutura, Investimentos e Financas",4.2%,ndb (1x),"Peso semantico do topico 'Infraestrutura, Investimentos e Financas' na nota = 1 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 24. Percentual = (1 / 24) x 100 = 4.2%. Termos computados (radical, casamento por fronteira de palavra): ndb (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",614,200,13/05/2025,"Atos adotados por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim - China, 12 e 13 de maio de 2025",Diplomacia Institucional e Atos Bilaterais,51.2%,memorando de entendimento (13x); visita de estado (2x); atos adotados (1x),"Peso semantico do topico 'Diplomacia Institucional e Atos Bilaterais' na nota = 21 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 41. Percentual = (21 / 41) x 100 = 51.2%. Termos computados (radical, casamento por fronteira de palavra): memorando de entendimento (13x); visita de estado (2x); atos adotados (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",614,200,13/05/2025,"Atos adotados por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim - China, 12 e 13 de maio de 2025","Infraestrutura, Investimentos e Financas",19.5%,finance (3x); infraestrutura (2x); financiamento (1x); porto (1x); cinturao e rota (1x),"Peso semantico do topico 'Infraestrutura, Investimentos e Financas' na nota = 8 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 41. Percentual = (8 / 41) x 100 = 19.5%. Termos computados (radical, casamento por fronteira de palavra): finance (3x); infraestrutura (2x); financiamento (1x); porto (1x); cinturao e rota (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",614,200,13/05/2025,"Atos adotados por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim - China, 12 e 13 de maio de 2025","Tecnologia, Inovacao e Espaco",9.8%,tecnolog (2x); inteligencia artificial (1x); dados (1x),"Peso semantico do topico 'Tecnologia, Inovacao e Espaco' na nota = 4 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 41. Percentual = (4 / 41) x 100 = 9.8%. Termos computados (radical, casamento por fronteira de palavra): tecnolog (2x); inteligencia artificial (1x); dados (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",614,200,13/05/2025,"Atos adotados por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim - China, 12 e 13 de maio de 2025","Economia, Comercio Exterior e Agronegocio",9.8%,quarentena (1x); aduana (1x); export (1x); agricultur (1x),"Peso semantico do topico 'Economia, Comercio Exterior e Agronegocio' na nota = 4 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 41. Percentual = (4 / 41) x 100 = 9.8%. Termos computados (radical, casamento por fronteira de palavra): quarentena (1x); aduana (1x); export (1x); agricultur (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",614,200,13/05/2025,"Atos adotados por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim - China, 12 e 13 de maio de 2025","Educacao, Cultura e Intercambio Humano",4.9%,universidade (2x),"Peso semantico do topico 'Educacao, Cultura e Intercambio Humano' na nota = 2 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 41. Percentual = (2 / 41) x 100 = 4.9%. Termos computados (radical, casamento por fronteira de palavra): universidade (2x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",614,200,13/05/2025,"Atos adotados por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Pequim - China, 12 e 13 de maio de 2025",Outros / Temas Residuais (abaixo do limiar de 3%),4.8%,"Defesa, Seguranca Internacional e Geopolitica; Multilateralismo e Foruns Plurilaterais",Soma dos topicos com peso semantico individual abaixo do limiar de materialidade de 3.0% adotado neste relatorio para evitar fragmentacao excessiva de temas acessorios.,Não
